1,10,64
1,10,66
1,10,67
1,10,88
1,10,92
1,10,128
1,10,132
1,80,20
1,80,64
1,80,67
1,80,128
1,80,132
1,84,20
1,84,64
1,84,128
1,84,129
1,84,132
1,84,140
10,1,4
10,1,12
10,1,13
10,1,22
10,1,32
10,1,86
10,1,96
10,64,4
10,64,13
10,64,32
10,64,80
10,64,96
10,84,32
10,84,33
10,84,80
10,84,88
10,84,92
10,84,96
10,84,104
10,84,106
84,1,4
84,1,32
84,1,33
84,1,80
84,1,96
84,1,98
84,10,22
84,10,64
84,10,86
84,10,128
84,10,129
84,10,132
84,10,134
84,10,142
