1,1,1
1,1,2
1,1,8
1,1,10
1,1,11
1,1,16
1,1,20
1,1,80
1,1,84
1,1,85
1,1,160
1,8,1
1,8,2
1,8,8
1,8,10
1,8,11
1,8,16
1,8,20
1,8,80
1,8,84
1,8,85
1,8,160
1,10,1
1,10,2
1,10,4
1,10,8
1,10,10
1,10,12
1,10,13
1,10,16
1,10,17
1,10,20
1,10,22
1,10,32
1,10,80
1,10,84
1,10,85
1,10,86
1,10,96
1,10,160
1,80,1
1,80,4
1,80,8
1,80,10
1,80,12
1,80,13
1,80,32
1,80,80
1,80,84
1,80,85
1,80,96
1,84,1
1,84,4
1,84,8
1,84,10
1,84,12
1,84,32
1,84,33
1,84,80
1,84,84
1,84,96
1,84,98
10,1,1
10,1,2
10,1,8
10,1,10
10,1,16
10,1,17
10,1,20
10,1,64
10,1,66
10,1,67
10,1,80
10,1,84
10,1,85
10,1,88
10,1,92
10,1,128
10,1,132
10,1,160
10,10,1
10,10,2
10,10,4
10,10,10
10,10,11
10,10,12
10,10,13
10,10,17
10,10,64
10,10,66
10,10,67
10,10,68
10,10,69
10,10,84
10,10,85
10,10,87
10,10,94
10,10,95
10,10,96
10,10,104
10,10,256
10,64,1
10,64,2
10,64,10
10,64,20
10,64,64
10,64,66
10,64,67
10,64,84
10,64,85
10,64,128
10,64,132
10,66,1
10,66,2
10,66,4
10,66,8
10,66,10
10,66,12
10,66,16
10,66,17
10,66,20
10,66,32
10,66,33
10,66,34
10,66,64
10,66,66
10,66,68
10,66,69
10,66,80
10,66,84
10,66,85
10,66,96
10,66,98
10,66,104
10,66,106
10,66,128
10,66,129
10,66,132
10,66,134
10,66,136
10,66,140
10,66,160
10,66,161
10,66,176
10,66,256
10,84,1
10,84,2
10,84,4
10,84,10
10,84,12
10,84,20
10,84,22
10,84,34
10,84,64
10,84,66
10,84,68
10,84,84
10,84,86
10,84,98
10,84,128
10,84,129
10,84,132
10,84,134
10,84,136
10,84,140
10,84,142
84,1,1
84,1,2
84,1,10
84,1,20
84,1,64
84,1,66
84,1,84
84,1,128
84,1,129
84,1,132
84,1,140
84,10,1
84,10,4
84,10,8
84,10,10
84,10,12
84,10,16
84,10,17
84,10,20
84,10,32
84,10,33
84,10,34
84,10,80
84,10,84
84,10,88
84,10,92
84,10,96
84,10,98
84,10,104
84,10,106
84,10,136
84,10,140
84,84,1
84,84,2
84,84,10
84,84,11
84,84,12
84,84,13
84,84,17
84,84,84
84,84,85
84,84,86
84,84,94
84,84,95
84,84,273
