file,status,pa,pb,pc,pairs,coinc,nearmiss,maxc
matmul/dbcache/11a5b2dj4n/i45w231c34dg-000.tab,ok,3,2,1,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w259c389h-000.tab,ok,3,1,0,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w265c3bcf-000.tab,ok,3,2,1,6,6,3,1
matmul/dbcache/11a5b2dj4n/i45w257c258h-000.tab,ok,2,2,0,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w241c257h-000.tab,ok,2,3,1,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w243c289i-000.tab,ok,2,2,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w191c23ci-002.tab,ok,3,1,2,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w239c356h-000.tab,ok,3,0,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w211c48hi-000.tab,ok,3,1,0,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w261c39hi-000.tab,ok,1,1,2,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w253c36fg-000.tab,ok,1,2,2,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-006.tab,ok,3,0,1,4,0,0,1
matmul/dbcache/11a5b2dj4n/i45w215c236h-000.tab,ok,3,0,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-012.tab,ok,4,0,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w237c3bcf-000.tab,ok,3,2,2,7,2,1,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-004.tab,ok,4,0,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w207c34aj-000.tab,ok,3,0,2,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w221c367g-000.tab,ok,3,2,0,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w187c28aj-000.tab,ok,3,0,3,6,0,0,1
matmul/dbcache/11a5b2dj4n/i45w211c23ci-030.tab,ok,4,1,0,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w265c349i-000.tab,ok,1,2,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w211c23ci-024.tab,ok,4,0,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w245c258h-001.tab,ok,2,3,0,5,6,3,1
matmul/dbcache/11a5b2dj4n/i45w211c23ci-018.tab,ok,3,1,3,7,2,1,1
matmul/dbcache/11a5b2dj4n/i45w219c356e-000.tab,ok,2,3,2,7,2,1,1
matmul/dbcache/11a5b2dj4n/i45w261c38eh-000.tab,ok,0,3,1,4,8,4,1
matmul/dbcache/11a5b2dj4n/i45w239c479i-000.tab,ok,0,1,2,3,6,3,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-005.tab,ok,3,0,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w223c34aj-001.tab,ok,1,0,2,3,0,0,1
matmul/dbcache/11a5b2dj4n/i45w213c23ci-003.tab,ok,4,1,2,7,2,1,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-011.tab,ok,3,2,0,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w233c239i-000.tab,ok,3,1,2,6,4,2,1
matmul/dbcache/11a5b2dj4n/i45w245c28aj-000.tab,ok,2,1,1,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w219c346f-001.tab,ok,3,0,2,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-010.tab,ok,4,0,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w195c23ci-008.tab,ok,4,0,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w265c346d-000.tab,ok,1,2,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w227c367f-000.tab,ok,3,2,0,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w265c367j-000.tab,ok,0,1,2,3,8,4,1
matmul/dbcache/11a5b2dj4n/i45w227c23ci-018.tab,ok,3,0,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w191c23ci-000.tab,ok,4,0,1,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w223c235g-001.tab,ok,0,2,0,2,4,2,1
matmul/dbcache/11a5b2dj4n/i45w217c23ci-009.tab,ok,3,0,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w257c258h-002.tab,ok,2,2,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w217c23ci-021.tab,ok,4,0,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w213c23ci-001.tab,ok,3,1,1,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w237c367j-000.tab,ok,1,0,2,3,2,1,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-007.tab,ok,3,1,2,6,4,2,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-013.tab,ok,4,0,2,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w245c367g-001.tab,ok,3,2,0,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w237c36eh-000.tab,ok,1,3,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-012.tab,ok,3,1,2,6,0,0,1
matmul/dbcache/11a5b2dj4n/i45w213c23ci-000.tab,ok,3,0,2,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-006.tab,ok,2,1,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w233c28aj-000.tab,ok,3,0,1,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w217c23ci-020.tab,ok,2,1,2,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w235c48hi-000.tab,ok,2,3,1,6,6,3,1
matmul/dbcache/11a5b2dj4n/i45w217c23ci-008.tab,ok,4,1,0,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w211c46ef-000.tab,ok,3,2,0,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w247c47eh-000.tab,ok,1,1,1,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w191c23ci-001.tab,ok,4,1,1,6,0,0,1
matmul/dbcache/11a5b2dj4n/i45w223c235g-000.tab,ok,0,4,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w217c239i-000.tab,ok,3,1,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w273c258h-000.tab,ok,1,1,0,2,4,2,1
matmul/dbcache/11a5b2dj4n/i45w241c3bcf-000.tab,ok,2,1,2,5,6,3,1
matmul/dbcache/11a5b2dj4n/i45w237c49ai-000.tab,ok,1,3,1,5,8,4,1
matmul/dbcache/11a5b2dj4n/i45w247c346e-000.tab,ok,2,2,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w231c235g-001.tab,ok,0,2,1,3,2,1,1
matmul/dbcache/11a5b2dj4n/i45w261c258h-001.tab,ok,2,2,0,4,8,4,1
matmul/dbcache/11a5b2dj4n/i45w227c358f-000.tab,ok,2,3,3,8,0,0,1
matmul/dbcache/11a5b2dj4n/i45w225c23ci-002.tab,ok,4,0,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-004.tab,ok,2,1,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-010.tab,ok,2,1,1,4,0,0,1
matmul/dbcache/11a5b2dj4n/i45w215c346e-000.tab,ok,0,3,2,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-007.tab,ok,4,0,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w201c23ci-001.tab,ok,3,0,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w245c34ci-000.tab,ok,1,1,1,3,8,4,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-013.tab,ok,2,2,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w211c23ci-027.tab,ok,3,1,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w203c467d-000.tab,ok,3,2,0,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w245c258h-002.tab,ok,2,3,0,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w245c367g-000.tab,ok,2,3,0,5,6,3,1
matmul/dbcache/11a5b2dj4n/i45w219c356e-002.tab,ok,0,2,3,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w203c46ef-000.tab,ok,1,3,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w211c23ci-026.tab,ok,3,2,2,7,2,1,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-012.tab,ok,3,1,1,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-006.tab,ok,2,2,0,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w215c34eg-000.tab,ok,2,0,0,2,2,1,1
matmul/dbcache/11a5b2dj4n/i45w201c23ci-000.tab,ok,4,0,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w215c346e-001.tab,ok,1,2,1,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-011.tab,ok,3,1,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w225c23ci-003.tab,ok,2,0,2,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-005.tab,ok,2,2,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w257c38eh-000.tab,ok,1,3,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w261c258h-000.tab,ok,2,2,1,5,8,4,1
matmul/dbcache/11a5b2dj4n/i45w231c235g-000.tab,ok,1,2,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w243c247g-000.tab,ok,4,1,0,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-001.tab,ok,2,1,2,5,6,3,1
matmul/dbcache/11a5b2dj4n/i45w225c23ci-007.tab,ok,3,1,0,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-015.tab,ok,3,1,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w223c349i-000.tab,ok,3,3,0,6,0,0,1
matmul/dbcache/11a5b2dj4n/i45w201c23ci-004.tab,ok,3,0,1,4,0,0,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-002.tab,ok,4,0,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-016.tab,ok,4,0,0,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w201c23ci-010.tab,ok,3,1,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w247c367j-000.tab,ok,2,0,2,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w263c3bcf-001.tab,ok,2,2,2,6,4,2,1
matmul/dbcache/11a5b2dj4n/i45w251c258h-001.tab,ok,2,2,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w275c234b-000.tab,ok,1,3,1,5,6,3,1
matmul/dbcache/11a5b2dj4n/i45w211c23ci-022.tab,ok,3,1,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w235c239i-001.tab,ok,1,1,0,2,2,1,1
matmul/dbcache/11a5b2dj4n/i45w235c367g-000.tab,ok,0,1,1,2,2,1,1
matmul/dbcache/11a5b2dj4n/i45w193c28aj-000.tab,ok,0,3,1,4,0,0,1
matmul/dbcache/11a5b2dj4n/i45w229c238f-000.tab,ok,0,3,0,3,2,1,1
matmul/dbcache/11a5b2dj4n/i45w217c23ci-018.tab,ok,4,0,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-002.tab,ok,2,2,0,4,0,0,1
matmul/dbcache/11a5b2dj4n/i45w213c23ci-004.tab,ok,4,0,2,6,0,0,1
matmul/dbcache/11a5b2dj4n/i45w213c23ci-010.tab,ok,2,1,1,4,0,0,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-016.tab,ok,3,1,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w211c23ci-023.tab,ok,3,0,0,3,2,1,1
matmul/dbcache/11a5b2dj4n/i45w235c239i-000.tab,ok,2,3,1,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w211c38hj-000.tab,ok,1,2,2,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w251c258h-000.tab,ok,3,1,1,5,6,3,1
matmul/dbcache/11a5b2dj4n/i45w263c3bcf-000.tab,ok,3,0,1,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w245c248j-000.tab,ok,3,2,0,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-017.tab,ok,4,0,2,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w201c23ci-011.tab,ok,4,0,1,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w201c23ci-005.tab,ok,2,1,2,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-003.tab,ok,4,0,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w241c23ci-000.tab,ok,2,1,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w227c23ci-019.tab,ok,3,0,0,3,2,1,1
