i106w191c23ci-000,61,15+15+31:m0
i106w191c347g-000,61,17+15+29:m0
i107w189c48ae-000,61,17+15+29:m0
i106w195c36fg-000,62,16+15+31:m0
i107w191c34ef-000,62,15+16+31:m0
i107w191c356e-000,62,15+17+30:m0
i107w193c23fg-000,62,15+15+32:m0
i109w193c34dj-000,62,17+16+29:m1
i109w193c49hi-000,62,17+15+30:m1
i113w197c23ci-001,62,17+16+29:m0
i16w193c236f-000,62,17+16+29:m0
i2w201c26fi-000,62,16+16+30:m0
i106w193c23ci-000,63,16+15+32:m0
i106w195c46dj-000,63,18+15+30:m0
i106w197c236f-000,63,16+17+30:m0
i107w193c37eg-000,63,15+18+30:m0
i107w195c23ci-000,63,18+16+29:m0
i107w195c23ci-001,63,18+15+30:m1
i107w195c389e-000,63,18+16+29:m0
i107w195c389e-001,63,15+16+32:m1
i107w199c48ae-000,63,18+16+29:m1
i109w199c347c-000,63,18+15+30:m1
i10w195c238h-000,63,17+16+30:m0
i110w195c347g-000,63,16+17+30:m0
i110w195c347g-001,63,16+17+30:m0
i110w199c346d-001,63,16+17+30:m0
i110w199c467d-000,63,15+18+30:m0
i110w201c34ef-000,63,18+15+30:m0
i113w195c37eg-000,63,15+18+30:m0
i113w197c28aj-000,63,18+15+30:m0
i113w199c28aj-000,63,16+17+30:m0
i113w199c467d-000,63,15+17+31:m0
i113w201c23ci-000,63,15+16+32:m0
i113w201c48ae-000,63,16+16+31:m0
i115w201c23ci-003,63,15+17+31:m1
i130w213c48eh-000,63,17+17+29:m0
i133w207c347g-000,63,16+18+29:m0
i133w213c48ae-000,63,17+15+31:m1
i135w207c37eg-000,63,15+16+32:m0
i136w201c367f-000,63,17+16+30:m0
i139w197c34aj-000,63,16+16+31:m0
i139w207c346d-000,63,16+16+31:m0
i146w209c23ci-000,63,16+17+30:m0
i16w197c236f-000,63,18+16+29:m0
i26w195c23ci-000,63,17+17+29:m0
i2w205c38hj-000,63,16+16+31:m1
i30w221c369i-000,63,16+18+29:m0
i30w223c258h-000,63,15+18+30:m0
i30w231c3bcf-000,63,15+16+32:m0
