idx,dims,k,shape,arm,result,seconds
173,"(3, 5, 9)",9,3x5x7,cadical,TIMEOUT,300.0
173,"(3, 5, 9)",9,3x5x7,cadical_lex,UNSAT,11.3
173,"(3, 5, 9)",9,3x5x7,hydra_satsuma,TIMEOUT,298.3
173,"(3, 5, 9)",9,3x5x7,kissat,TIMEOUT,300.0
174,"(3, 5, 9)",9,3x5x8,cadical,TIMEOUT,300.0
174,"(3, 5, 9)",9,3x5x8,cadical_lex,UNSAT,16.7
174,"(3, 5, 9)",9,3x5x8,hydra_satsuma,TIMEOUT,298.4
174,"(3, 5, 9)",9,3x5x8,kissat,TIMEOUT,300.0
175,"(3, 5, 9)",9,3x5x6,cadical,TIMEOUT,300.0
175,"(3, 5, 9)",9,3x5x6,cadical_lex,UNSAT,14.0
175,"(3, 5, 9)",9,3x5x6,hydra_satsuma,TIMEOUT,298.3
175,"(3, 5, 9)",9,3x5x6,kissat,TIMEOUT,300.0
177,"(3, 5, 9)",9,3x5x6,cadical,TIMEOUT,300.0
177,"(3, 5, 9)",9,3x5x6,cadical_lex,UNSAT,11.0
177,"(3, 5, 9)",9,3x5x6,hydra_satsuma,TIMEOUT,298.4
177,"(3, 5, 9)",9,3x5x6,kissat,TIMEOUT,300.0
181,"(3, 5, 9)",9,3x5x7,cadical,TIMEOUT,300.0
181,"(3, 5, 9)",9,3x5x7,cadical_lex,UNSAT,25.5
181,"(3, 5, 9)",9,3x5x7,hydra_satsuma,TIMEOUT,298.4
181,"(3, 5, 9)",9,3x5x7,kissat,TIMEOUT,300.0
189,"(3, 5, 9)",9,3x5x7,cadical,TIMEOUT,300.0
189,"(3, 5, 9)",9,3x5x7,cadical_lex,UNSAT,12.6
189,"(3, 5, 9)",9,3x5x7,hydra_satsuma,TIMEOUT,298.4
189,"(3, 5, 9)",9,3x5x7,kissat,TIMEOUT,300.0
192,"(4, 4, 9)",9,4x4x8,cadical,TIMEOUT,300.0
192,"(4, 4, 9)",9,4x4x8,cadical_lex,UNSAT,69.5
192,"(4, 4, 9)",9,4x4x8,hydra_satsuma,TIMEOUT,298.4
192,"(4, 4, 9)",9,4x4x8,kissat,TIMEOUT,300.0
193,"(4, 4, 9)",9,4x4x7,cadical,TIMEOUT,300.0
193,"(4, 4, 9)",9,4x4x7,cadical_lex,UNSAT,60.3
193,"(4, 4, 9)",9,4x4x7,hydra_satsuma,TIMEOUT,298.4
193,"(4, 4, 9)",9,4x4x7,kissat,TIMEOUT,300.0
194,"(4, 4, 9)",9,4x4x7,cadical,TIMEOUT,300.0
194,"(4, 4, 9)",9,4x4x7,cadical_lex,UNSAT,31.9
194,"(4, 4, 9)",9,4x4x7,hydra_satsuma,TIMEOUT,298.4
194,"(4, 4, 9)",9,4x4x7,kissat,TIMEOUT,300.0
195,"(4, 4, 9)",9,4x4x6,cadical,TIMEOUT,300.0
195,"(4, 4, 9)",9,4x4x6,cadical_lex,UNSAT,27.6
195,"(4, 4, 9)",9,4x4x6,hydra_satsuma,TIMEOUT,298.3
195,"(4, 4, 9)",9,4x4x6,kissat,TIMEOUT,300.0
196,"(4, 4, 9)",9,4x4x6,cadical,TIMEOUT,300.0
196,"(4, 4, 9)",9,4x4x6,cadical_lex,UNSAT,19.5
196,"(4, 4, 9)",9,4x4x6,hydra_satsuma,TIMEOUT,298.4
196,"(4, 4, 9)",9,4x4x6,kissat,TIMEOUT,300.0
197,"(4, 4, 9)",9,4x4x7,cadical,TIMEOUT,300.0
197,"(4, 4, 9)",9,4x4x7,cadical_lex,UNSAT,92.3
197,"(4, 4, 9)",9,4x4x7,hydra_satsuma,TIMEOUT,298.4
197,"(4, 4, 9)",9,4x4x7,kissat,TIMEOUT,300.0
198,"(4, 4, 9)",9,4x4x8,cadical,TIMEOUT,300.0
198,"(4, 4, 9)",9,4x4x8,cadical_lex,UNSAT,62.5
198,"(4, 4, 9)",9,4x4x8,hydra_satsuma,TIMEOUT,298.3
198,"(4, 4, 9)",9,4x4x8,kissat,TIMEOUT,300.0
199,"(4, 4, 9)",9,4x4x6,cadical,TIMEOUT,300.0
199,"(4, 4, 9)",9,4x4x6,cadical_lex,UNSAT,40.9
199,"(4, 4, 9)",9,4x4x6,hydra_satsuma,TIMEOUT,298.3
199,"(4, 4, 9)",9,4x4x6,kissat,TIMEOUT,300.0
200,"(4, 4, 9)",9,4x4x8,cadical,TIMEOUT,300.0
200,"(4, 4, 9)",9,4x4x8,cadical_lex,UNSAT,47.0
200,"(4, 4, 9)",9,4x4x8,hydra_satsuma,TIMEOUT,298.4
200,"(4, 4, 9)",9,4x4x8,kissat,TIMEOUT,300.0
204,"(4, 4, 9)",9,4x4x8,cadical,TIMEOUT,300.0
204,"(4, 4, 9)",9,4x4x8,cadical_lex,UNSAT,70.0
204,"(4, 4, 9)",9,4x4x8,hydra_satsuma,TIMEOUT,298.4
204,"(4, 4, 9)",9,4x4x8,kissat,TIMEOUT,300.0
207,"(4, 4, 9)",9,4x4x8,cadical,TIMEOUT,300.0
207,"(4, 4, 9)",9,4x4x8,cadical_lex,UNSAT,33.1
207,"(4, 4, 9)",9,4x4x8,hydra_satsuma,TIMEOUT,298.4
207,"(4, 4, 9)",9,4x4x8,kissat,TIMEOUT,300.0
208,"(4, 4, 9)",9,4x4x8,cadical,TIMEOUT,300.0
208,"(4, 4, 9)",9,4x4x8,cadical_lex,UNSAT,72.4
208,"(4, 4, 9)",9,4x4x8,hydra_satsuma,TIMEOUT,298.4
208,"(4, 4, 9)",9,4x4x8,kissat,TIMEOUT,300.0
213,"(4, 4, 9)",9,4x4x7,cadical,TIMEOUT,300.0
213,"(4, 4, 9)",9,4x4x7,cadical_lex,UNSAT,54.6
