[1, 2013265920, 2013265920, 2013265920, 1, 2013265920, 2013265920, 2013265920, 2013265920, 1, 1, 1, 1, 2013265920, 2013265920, 2013265920] | [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0] | [0, 0, 0, 0, 0, 0, 0, 0, 1509949441, 503316480, 0, 1509949441, 503316480, 1509949441, 0, 503316480]
[1, 0, 0, 0, 2013265920, 0, 0, 0, 2013265920, 0, 0, 0, 1, 0, 0, 0] | [0, 1, 0, 1, 0, 2013265920, 0, 2013265920, 0, 0, 0, 0, 0, 0, 0, 0] | [1006632961, 0, 0, 1006632961, 1006632960, 0, 0, 1006632960, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 1, 0, 0, 0, 2013265920, 0, 0, 0, 2013265920, 0, 0, 0, 2013265920, 0] | [0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0] | [0, 0, 0, 0, 0, 1006632960, 1006632961, 0, 0, 0, 0, 0, 0, 1006632960, 1006632961, 0]
[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2013265920, 1, 0, 0, 2013265920, 1] | [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2013265920, 0] | [0, 1006632961, 503316480, 503316480, 0, 1006632961, 503316480, 503316480, 0, 0, 503316480, 1509949441, 0, 0, 503316480, 1509949441]
[1, 1, 1, 2013265920, 2013265920, 2013265920, 2013265920, 1, 1, 1, 1, 2013265920, 1, 1, 1, 2013265920] | [1, 0, 2013265920, 2013265920, 1, 0, 2013265920, 2013265920, 0, 0, 0, 0, 0, 0, 0, 0] | [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 503316480, 0, 0, 0, 503316480]
[1, 1, 2013265920, 1, 2013265920, 2013265920, 1, 2013265920, 2013265920, 2013265920, 1, 2013265920, 1, 1, 2013265920, 1] | [0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1] | [0, 0, 0, 0, 1509949441, 503316480, 1509949441, 0, 0, 0, 0, 0, 503316480, 1509949441, 503316480, 0]
[0, 0, 0, 1, 0, 0, 0, 2013265920, 0, 0, 0, 2013265920, 0, 0, 0, 2013265920] | [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2013265920, 0, 0] | [0, 1006632960, 0, 1006632961, 0, 0, 0, 0, 0, 1006632961, 0, 1006632960, 0, 0, 0, 0]
[1, 1, 1, 2013265920, 2013265920, 2013265920, 2013265920, 1, 1, 1, 1, 2013265920, 2013265920, 2013265920, 2013265920, 1] | [1, 0, 0, 2013265920, 0, 0, 0, 0, 1, 0, 0, 2013265920, 0, 0, 0, 0] | [0, 0, 0, 0, 0, 0, 0, 1509949441, 0, 0, 0, 0, 0, 0, 0, 1509949441]
[0, 0, 1, 1, 0, 0, 2013265920, 2013265920, 1, 2013265920, 0, 0, 1, 2013265920, 0, 0] | [1, 1, 2013265920, 2013265920, 2013265920, 2013265920, 1, 1, 2013265920, 1, 1, 1, 2013265920, 1, 1, 1] | [251658240, 1761607681, 1761607681, 251658240, 1761607681, 251658240, 251658240, 1761607681, 251658240, 1761607681, 251658240, 251658240, 251658240, 1761607681, 251658240, 251658240]
[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2013265920, 0, 0, 0] | [0, 1, 1, 1, 0, 0, 0, 0, 0, 2013265920, 2013265920, 2013265920, 0, 0, 0, 0] | [1006632961, 0, 0, 1006632961, 0, 0, 0, 0, 1006632961, 0, 0, 1006632961, 0, 0, 0, 0]
